epoch,accuracy,loss,lr,val_accuracy,val_loss
30,0.8541582822799683,0.36628276109695435,1e-05,0.8903928399085999,0.28552091121673584
31,0.8499283194541931,0.3683430552482605,1e-05,0.8984846472740173,0.2714754045009613
32,0.8560709357261658,0.36072051525115967,1e-05,0.9030454754829407,0.258940726518631
33,0.8618089556694031,0.3448305130004883,1e-05,0.9017213582992554,0.26286715269088745
34,0.8673998713493347,0.33135291934013367,1e-05,0.9071649312973022,0.2573365569114685
35,0.8710781335830688,0.3233787715435028,1e-05,0.9105488061904907,0.24972030520439148
36,0.8721080422401428,0.32107892632484436,1e-05,0.9055466055870056,0.2448921948671341
37,0.8750506043434143,0.31423333287239075,1e-05,0.9114315509796143,0.24137532711029053
38,0.8754919767379761,0.31549644470214844,1e-05,0.9096660614013672,0.24630479514598846
39,0.8792070150375366,0.30913278460502625,1e-05,0.906135082244873,0.2523078918457031
40,0.8853496313095093,0.2930609881877899,1e-05,0.9117257595062256,0.2353254109621048
41,0.8847979307174683,0.2917872667312622,1e-05,0.9196704626083374,0.22762925922870636
42,0.8869680762290955,0.2879619896411896,1e-05,0.9098131656646729,0.23189382255077362
43,0.8914923071861267,0.27833759784698486,1e-05,0.9201118350028992,0.22412727773189545
44,0.8956486582756042,0.27302056550979614,1e-05,0.9158452153205872,0.2236223667860031
