epoch,accuracy,loss,lr,val_accuracy,val_loss
30,0.7983227372169495,0.4871618151664734,1e-05,0.8624393343925476,0.36046332120895386
31,0.8054953217506409,0.4801236689090729,1e-05,0.8693541288375854,0.35993269085884094
32,0.8063780665397644,0.46926507353782654,1e-05,0.8697955012321472,0.36076635122299194
33,0.8074079751968384,0.46719348430633545,1e-05,0.8727380037307739,0.3507329821586609
34,0.811968982219696,0.45901474356651306,1e-05,0.8700897693634033,0.34691429138183594
35,0.812336802482605,0.4582951068878174,1e-05,0.8756804466247559,0.34900346398353577
36,0.8203553557395935,0.44267377257347107,1e-05,0.8728851079940796,0.3444755971431732
37,0.8180012702941895,0.44683945178985596,1e-05,0.8668530583381653,0.3511793613433838
38,0.8217530846595764,0.43860918283462524,1e-05,0.8700897693634033,0.3461833596229553
39,0.8251002430915833,0.437344491481781,1e-05,0.8768574595451355,0.33520087599754333
40,0.8238129019737244,0.43575772643089294,1e-05,0.8828895092010498,0.33265599608421326
41,0.8244749307632446,0.4297507405281067,1e-05,0.877740204334259,0.33588099479675293
42,0.8272703886032104,0.4253233075141907,1e-05,0.8795056939125061,0.3354600667953491
43,0.8237392902374268,0.4298156797885895,1e-05,0.8856848478317261,0.32517606019973755
44,0.8291831016540527,0.4212573766708374,1e-05,0.8859791159629822,0.31971287727355957
