epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6006179451942444,0.0010000000474974513,0.8395234942436218,0.7323819398880005,0.5931591987609863
1,0.7920329570770264,0.0010000000474974513,0.481240451335907,0.821391761302948,0.4192533493041992
2,0.8724390268325806,0.0010000000474974513,0.30760103464126587,0.8924525380134583,0.2769775092601776
3,0.9179387092590332,0.0010000000474974513,0.2090408354997635,0.8951007723808289,0.2766624093055725
4,0.9376172423362732,0.0010000000474974513,0.15936139225959778,0.909077525138855,0.24302701652050018
5,0.9504542350769043,0.0010000000474974513,0.13535618782043457,0.9187877178192139,0.23184482753276825
6,0.9601647853851318,0.0010000000474974513,0.11104346066713333,0.9211416840553284,0.24297977983951569
7,0.9651671648025513,0.0010000000474974513,0.09642115235328674,0.9129027724266052,0.28792423009872437
8,0.9667856097221375,0.0010000000474974513,0.09132770448923111,0.9277622699737549,0.25523146986961365
9,0.9720087051391602,0.0010000000474974513,0.08315527439117432,0.916580855846405,0.300182044506073
10,0.992312490940094,0.00010000000474974513,0.022029580548405647,0.9377666711807251,0.2587834596633911
11,0.9992275834083557,0.00010000000474974513,0.0033658717293292284,0.941739022731781,0.30992841720581055
12,0.9999632239341736,0.00010000000474974513,0.0006439373828470707,0.9433573484420776,0.3694795072078705
13,0.9998528957366943,0.00010000000474974513,0.0004414151480887085,0.9410033822059631,0.4244385361671448
14,1.0,1.0000000656873453e-05,0.00010142924293177202,0.9420332312583923,0.42677041888237
15,1.0,1.0000000656873453e-05,2.6103685740963556e-05,0.9430631399154663,0.44633591175079346
16,1.0,1.0000000656873453e-05,1.0442722668813076e-05,0.9423274993896484,0.47456806898117065
17,1.0,1.0000000656873453e-05,3.941790964745451e-06,0.943210244178772,0.5077240467071533
18,1.0,1.0000001111620804e-06,1.8322388086744468e-06,0.9429159760475159,0.5111590027809143
19,1.0,1.0000001111620804e-06,1.6205765405175043e-06,0.9430631399154663,0.5163421034812927
20,1.0,1.0000001111620804e-06,1.4347975820783176e-06,0.9433573484420776,0.520612895488739
21,1.0,1.0000001111620804e-06,1.2721277471428039e-06,0.943210244178772,0.5255717039108276
22,1.0,9.999999974752427e-07,1.133520981966285e-06,0.9433573484420776,0.5298736095428467
23,1.0,9.999999974752427e-07,1.0073871408167179e-06,0.9429159760475159,0.5343859195709229
24,1.0,9.999999974752427e-07,9.038420216711529e-07,0.9435045123100281,0.5382697582244873
25,1.0,9.999999974752427e-07,8.077846018750279e-07,0.9430631399154663,0.5425915718078613
26,1.0,9.999999974752427e-07,7.26432517694775e-07,0.9435045123100281,0.5466480851173401
27,1.0,9.999999974752427e-07,6.525253297695599e-07,0.9435045123100281,0.5507502555847168
28,1.0,9.999999974752427e-07,5.869355277354771e-07,0.9433573484420776,0.5540513396263123
29,1.0,9.999999974752427e-07,5.301934606904979e-07,0.9436516165733337,0.5576944351196289
